Firearm Reference Number,Make,Model,Individual Amount
118033,CZ,VZ52,1700
120645,Special Weapons,Omega 760,1700
142221,Anderson Manufacturing,AM-10,1700
145651,Czech Small Arms,SA VZ61 Combat,1700
189928,Czech Weapons,CSV-9,1700
196613,Black Creek Labs,SRV2 Badger,1700
196688,Kodiak Defence,K9,1700
197240,Xtreme Gun,WX-MCR,1700
48288,JP Enterprises,JP-15 Tactical/SOF,1710
127966,DPMS,A-15 Panther Pardus,1710
146329,Rock River Arms,LAR-15 R3 Competition,1710
148230,AdeQ Firearms,L-Tac,1710
125610,Mega Machine Shop,MEGA MMS,1720
129800,CMMG,MK-9,1720
133639,Mega Machine Shop,MEGA GTR-3S,1720
133640,Mega Machine Shop,MEGA GTR-MA-Ten,1720
133643,Mega Machine Shop,MEGA Pistol,1720
133644,Mega Machine Shop,MEGA MG-XTR,1720
142964,Kriss,Kriss Vector SDP,1720
158226,PWS,MARK 1 Modern Musket,1720
158227,PWS,MARK 1 Modern Musket Pistol,1720
135098,DPMS,A-15 Panther LBR Carbine,1725
85855,Rock River Arms,LAR-15 Law Enforcement,1730
125045,Rock River Arms,LAR-15/9MM,1730
126145,Rock River Arms,LAR-15 DEA,1730
127936,Rock River Arms,LAR-6.8,1730
138196,Rock River Arms,LAR-6,1730
122035,Fulton Armory,FAR-15,1740
128273,Socom Firearms Corporation,Diplomat,1750
145169,Firebird Precision Firearms,FPX-15 Pistol,1750
154751,TNW,SDI Pistol,1750
156646,Olympic Arms,MPR 308-15,1750
196206,NoDak Spud,NDS-18SC,1750
197053,Black Creek Labs,SLR Coyote,1750
18112,Colt,AR15 Sporter,1760
91255,Leitner-Wise Rifle,LW15-499,1760
124566,Alexander Arms,AAR15 Beowulf Overwatch,1760
141259,Hogan Manufacturing,H-308,1760
143542,SI Defense,SI-C,1760
129238,Colt,M4 Carbine,1765
141969,Colt,M4 Carbine,1765
133417,Thor,TR15 Carbine,1770
126518,Sport Systeme Dittrich,BD38,1775
121591,Double Star,Star-15 Target Rifle,1780
180944,SIG Sauer,SIG M400 Elite,1780
187142,Remington,R25 G2,1780
128868,Penn Arms,L6,1790
140502,D-Technik,SA VZ58 Sporter 7.62,1790
29960,CZ,VZ52/57,1800
36972,Holloway Arms,7,1800
118036,CZ,VZ52/57,1800
124563,Bohica,M16SA,1800
126520,Sport Systeme Dittrich,BD3008,1800
127968,DPMS,LR-338 Panther,1800
129507,SI Defense,SI AR-15,1800
129508,SI Defense,SI AR-15,1800
129510,SI Defense,SI-HK,1800
137289,Centurion Arms,C4,1800
151386,Norinco,313,1800
154728,Colt,AR-15A4,1800
164327,Tomahawk,G5,1800
164334,Tomahawk,SA19,1800
166262,Excel Arms,X-9R,1800
197310,Tigris Arms,XT-12CL500R,1800
197376,Beretta,PMXS,1800
197554,Crusader Arms,Sentinel,1800
125570,Global Tactical,GTAR15,1810
134299,YHM,YHM-15,1810
138859,Mega Arms,MEGA GTR-3S,1810
145321,Enfield Rifle Company,MERC415,1810
154750,TNW,SDI,1810
159566,Angstadt Arms,AA-0940,1810
175163,Diamondback Firearms,DB-10,1810
185826,Brownell's,XBRN16E1,1810
196028,Lead Star,LSA9,1810
196258,Diamondback Firearms,DB-10,1810
126733,Bushmaster,XM15E2S Predator,1820
135206,Colt,M4 Carbine Sporter,1820
141739,Lancer Systems LP,L15,1820
189622,Trojan Firearms,PRO9V1,1820
165247,CMMG,MK-47 Pistol,1825
144741,Troy Defense,Troy Northern Guard,1830
186163,CMMG,MkG-45,1840
1905,Egyptian Service Rifle,Rashid,1850
36976,Holloway Arms,7 Carbine,1850
117777,DPMS,A-15 Panther Race Gun,1850
119555,Armalite,AR-180B,1850
127137,Smith & Wesson,M&P 15PC,1850
129509,SI Defense,SI-D,1850
133492,Olympic Arms,SM1P Servicematch,1850
141610,Rock River Arms,LAR-15 Hunter,1850
128083,B&T,GL06,1860
185242,Lantac,LA-SF15,1860
123420,CZ,CZ550 Safari Classic Magnum,1865
126813,"Prechtl, Gottfried",Mauser 98 Safari,1865
164862,Mega Arms,GTR-3H,1865
169222,Tresna Defense,Tresna JAG9G,1865
169442,Tresna Defense,Tresna JAG9G,1865
175044,Astra Arms,MG556,1865
181822,Maccabee Defense,SLR-MULTI,1865
188284,MBX,Pro Series PCC,1865
195518,KE Arms,KE-9,1865
141599,Colt,M4A1 Carbine,1870
134481,Rock River Arms,LAR-PPS,1880
34973,Colt,AR15A2 Sporter Match Target Competition HBar,1890
126678,PMP,NTW,1890
126678,PMP,NTW,1890
